Date,Open,High,Low,Close,Volume,Stock
,APARINDS.BO,APARINDS.BO,APARINDS.BO,APARINDS.BO,APARINDS.BO,
2020-01-01,361.95967981885144,362.4237306904141,361.0779718335155,361.5420227050781,306,APARINDS.BO
2020-01-02,368.22438719888567,375.8812270083143,366.7858407458758,369.430908203125,2881,APARINDS.BO
2020-01-03,372.1223976206591,373.0504993447925,364.37274255946176,367.5746765136719,2663,APARINDS.BO
2020-01-06,361.95966363545267,362.5629240768285,357.3191551273058,361.2171936035156,953,APARINDS.BO
2020-01-07,367.29627110176466,369.8485509388584,364.65117542409297,367.71392822265625,5268,APARINDS.BO
2020-01-08,362.1453130233964,372.9576927116997,361.6348400684753,365.90411376953125,292,APARINDS.BO
2020-01-09,366.1361431885701,394.3968530226063,366.1361431885701,372.07598876953125,3839,APARINDS.BO
2020-01-10,373.1432624732674,378.6654787003468,366.60015707509064,367.9923095703125,1831,APARINDS.BO
2020-01-13,374.9530763860136,379.87200393002837,371.0086442705667,374.3962097167969,1456,APARINDS.BO
2020-01-14,374.95311215190327,411.14908089924046,373.5609595077749,399.8726501464844,7729,APARINDS.BO
2020-01-15,414.583059462044,434.722850268484,400.84713668701386,407.0654296875,6137,APARINDS.BO
2020-01-16,408.3647820815383,415.7895963012026,396.5778781784538,398.6661071777344,1345,APARINDS.BO
2020-01-17,401.8680335703207,407.2046183117279,400.4294872737425,403.0745544433594,1265,APARINDS.BO
2020-01-20,410.22095626620103,417.64576995427706,401.9608567028997,402.796142578125,2844,APARINDS.BO
2020-01-21,400.01185562335894,403.7242626361047,393.9328004693548,397.5987854003906,592,APARINDS.BO
2020-01-22,402.2392773282004,422.2862800225244,402.1464614920835,411.28826904296875,42794,APARINDS.BO
2020-01-23,423.2144126775713,423.2144126775713,387.62170366599094,393.3759460449219,5514,APARINDS.BO
2020-01-24,394.4432630948319,394.4432630948319,376.8093289800041,380.01129150390625,3793,APARINDS.BO
2020-01-27,377.78382634629634,389.43152092990584,377.3661975303637,378.619140625,2157,APARINDS.BO
2020-01-28,379.12955047708533,381.91385562134786,360.1034653246245,366.6929931640625,7186,APARINDS.BO
2020-01-29,372.2152135883718,373.0041057788755,367.528310852574,369.430908203125,898,APARINDS.BO
2020-01-30,368.8740152637634,368.8740152637634,362.05246241347766,363.86224365234375,1154,APARINDS.BO
2020-01-31,367.9923246960435,367.9923246960435,359.17535853056455,361.2171936035156,987,APARINDS.BO
2020-02-03,357.4119901105015,364.511962843664,357.4119901105015,358.98974609375,1060,APARINDS.BO
2020-02-04,360.0570386584991,364.74394056025125,357.73678458368835,358.89691162109375,927,APARINDS.BO
2020-02-05,362.4237168134003,370.9622638525832,358.8969416539296,363.2590026855469,1715,APARINDS.BO
2020-02-06,364.7439860875796,378.2014614012434,362.70215091751874,371.890380859375,1857,APARINDS.BO
2020-02-07,373.93217206612985,374.5818545903625,363.16618660080763,369.2452697753906,704,APARINDS.BO
2020-02-10,372.16879049885046,372.16879049885046,362.1453032312407,364.37274169921875,101146,APARINDS.BO
2020-02-11,370.498252240251,372.9112942768269,361.77407260615905,362.5165710449219,25567,APARINDS.BO
2020-02-12,366.27533323521027,367.0178315953311,362.9805835026368,363.2590026855469,244,APARINDS.BO
2020-02-13,363.9087056393305,365.30085827886626,360.66034948041374,361.9596862792969,255,APARINDS.BO
2020-02-14,366.3217365154857,368.0851240047263,362.8877490442686,363.1661682128906,82,APARINDS.BO
2020-02-17,362.8877744172631,373.74657592740215,362.8877744172631,367.3426513671875,1725,APARINDS.BO
2020-02-18,366.3217624121423,366.3217624121423,359.82505033314703,363.2126159667969,637,APARINDS.BO
2020-02-19,364.74395860944475,364.74395860944475,360.84592024150436,363.81585693359375,742,APARINDS.BO
2020-02-20,362.1916741425151,372.02955743925617,361.49559789496385,362.00604248046875,1868,APARINDS.BO
2020-02-24,361.9596937347313,365.25444372012873,355.4629812830823,356.1590576171875,1351,APARINDS.BO
2020-02-25,356.3910702171886,358.5256929021433,348.3165737032134,351.42572021484375,751,APARINDS.BO
2020-02-26,347.5741104916732,348.0381613735045,339.8708771826402,342.1911315917969,11865,APARINDS.BO
2020-02-27,340.8453544227041,344.3257358497569,339.68522728035316,341.86627197265625,11224,APARINDS.BO
2020-02-28,343.2120074363978,343.2120074363978,318.43170831079976,328.26959228515625,2830,APARINDS.BO
2020-03-02,337.7826466272963,350.31202037787205,334.39505254710997,347.249267578125,2688,APARINDS.BO
2020-03-03,380.5217140323747,380.5217140323747,348.0845468361016,352.5858459472656,1258,APARINDS.BO
2020-03-04,350.26558763419746,357.6904014826104,348.7342254426457,351.9361877441406,714,APARINDS.BO
2020-03-05,360.97967293910324,360.97967293910324,349.69905271265134,353.22125244140625,703,APARINDS.BO
2020-03-06,339.8939694318508,347.93796407962765,332.9447412772908,339.7987976074219,820,APARINDS.BO
2020-03-09,330.6124798115677,346.55765467908,330.6124798115677,342.035888671875,1326,APARINDS.BO
2020-03-11,342.6546678041234,342.6546678041234,321.7593382138281,325.90032958984375,1469,APARINDS.BO
2020-03-12,314.1912900509476,314.1912900509476,271.35351221360554,283.96685791015625,4163,APARINDS.BO
2020-03-13,266.5461723009724,287.8698602748047,228.46814768654775,278.9691162109375,1723,APARINDS.BO
2020-03-16,286.77515400410675,286.77515400410675,262.8335992394042,279.49273681640625,918,APARINDS.BO
2020-03-17,280.82549651633843,300.3404886471348,266.54623398160936,293.77203369140625,15763,APARINDS.BO
2020-03-18,295.1046772875817,300.81638071895424,276.3988543600818,291.296875,966,APARINDS.BO
2020-03-19,266.5462096336239,295.7711092389459,257.45509160411245,286.6799621582031,2652,APARINDS.BO
2020-03-20,285.58524081039013,301.9588062373457,280.82548679688364,292.1061096191406,3450,APARINDS.BO
2020-03-23,252.64770806522594,283.6813064615321,237.9876732059833,244.2705535888672,3403,APARINDS.BO
2020-03-24,247.50718819078548,252.26694180983907,234.65585341934087,245.60328674316406,3897,APARINDS.BO
2020-03-25,237.98765895055325,245.60326403697098,235.13180704314664,237.79727172851562,4796,APARINDS.BO
2020-03-26,239.46320084086895,249.88705807248388,231.32401947281363,233.6562957763672,2463,APARINDS.BO
2020-03-27,233.65627171940588,245.60325464709052,231.3239956559806,241.55746459960938,2388,APARINDS.BO
2020-03-30,238.93962508037362,263.6427573018045,223.8036147998708,250.1250457763672,2648,APARINDS.BO
2020-03-31,250.3630470786273,283.63373738884616,247.8879693200752,273.923828125,1304,APARINDS.BO
2020-04-01,273.2098747340941,291.29693961196097,273.2098747340941,279.7307434082031,457,APARINDS.BO
2020-04-03,306.52811742033396,306.52811742033396,271.591516019326,277.4936218261719,1291,APARINDS.BO
2020-04-07,286.67995074599435,287.013139305019,276.06570613086404,282.7769470214844,592,APARINDS.BO
2020-04-08,276.25606995707443,287.0606857998985,273.543004993627,281.9677734375,385,APARINDS.BO
2020-04-09,292.62963118635463,292.62963118635463,282.3485755343567,284.395263671875,962,APARINDS.BO
2020-04-13,310.28836350712334,310.28836350712334,274.0666194640624,286.82275390625,706,APARINDS.BO
2020-04-15,285.1567801573561,290.29733644991524,275.6848894652754,275.78009033203125,888,APARINDS.BO
2020-04-16,281.77742647167554,290.3449833576387,278.6835864850778,286.82275390625,1335,APARINDS.BO
2020-04-17,297.9605215282106,316.0475819404662,291.5824412360304,301.00677490234375,1053,APARINDS.BO
2020-04-20,332.2307801598798,332.2307801598798,300.863994309394,307.52764892578125,1084,APARINDS.BO
2020-04-21,288.4886252135684,299.86444679996276,285.8707609954735,287.58428955078125,799,APARINDS.BO
2020-04-22,285.82319212728277,288.06028203910773,276.1132835552564,280.58746337890625,192,APARINDS.BO
2020-04-23,290.3449705449578,291.296921268056,279.5879389944401,281.20623779296875,1371,APARINDS.BO
2020-04-24,281.2538623928835,287.6319150253533,279.2547599956613,282.0154113769531,299,APARINDS.BO
2020-04-27,287.6319200662202,288.4410840329948,279.87352708151974,282.158203125,1316,APARINDS.BO
2020-04-28,284.63321740920185,287.8698435026065,277.8267767161834,285.9659423828125,1039,APARINDS.BO
2020-04-29,287.4891170309646,298.91252565471154,285.58521559367347,296.3898620605469,666,APARINDS.BO
2020-04-30,301.10199895860904,304.62422821787027,293.48639325316225,296.9134216308594,1898,APARINDS.BO
2020-05-04,301.29240316446044,301.29240316446044,278.7311594586674,280.3494873046875,1190,APARINDS.BO
2020-05-05,282.6817719865315,332.23079430122175,275.11375230101174,318.6654968261719,13904,APARINDS.BO
2020-05-06,309.38397777628586,318.1895217591494,297.151405460116,299.0077209472656,7860,APARINDS.BO
2020-05-07,295.199904261576,297.7225676899502,288.4410487931412,290.6305236816406,2403,APARINDS.BO
2020-05-08,296.056676941506,296.056676941506,278.92156380662783,280.1590881347656,3131,APARINDS.BO
2020-05-11,290.3449572100335,290.3449572100335,274.63777100031035,275.5897216796875,2235,APARINDS.BO
2020-05-12,271.7819237507891,273.35263658919047,261.7864414412154,272.1151123046875,3315,APARINDS.BO
2020-05-13,277.0176928288083,292.5344798100659,272.25793865649206,287.91754150390625,3169,APARINDS.BO
2020-05-14,286.53717535614567,290.34497835091173,285.58522460745417,286.6799621582031,452,APARINDS.BO
2020-05-15,287.82228419065933,288.3934603896209,279.1595274848894,280.3018798828125,175,APARINDS.BO
2020-05-18,277.0652480221462,284.63326793729226,274.0190231204454,280.68267822265625,2195,APARINDS.BO
2020-05-19,285.5851766225454,285.5851766225454,280.9682104569023,281.7773742675781,182,APARINDS.BO
2020-05-20,281.3966423050375,284.5856830687937,281.3966423050375,282.9197692871094,40,APARINDS.BO
2020-05-21,268.4500765285359,289.5833920459542,268.4500765285359,284.8236389160156,681,APARINDS.BO
2020-05-22,289.8213753482507,291.82044839180924,280.1114674885641,280.8730163574219,795,APARINDS.BO
2020-05-26,288.4410621317162,289.39301283182084,280.8254565308788,285.7279968261719,687,APARINDS.BO
2020-05-27,284.4428691290413,288.250672084189,280.58748025744666,285.4900207519531,255,APARINDS.BO
2020-05-28,287.25112419733256,294.1527667836811,285.5852104695933,287.10833740234375,1282,APARINDS.BO
2020-05-29,288.6790547926407,298.91252499551257,288.4410671135042,295.5331115722656,1449,APARINDS.BO
2020-06-01,300.626025117514,306.90890566642645,298.0081606430697,304.14825439453125,2212,APARINDS.BO
2020-06-02,309.288760064653,311.28786223789433,294.1527505550745,302.7203063964844,1614,APARINDS.BO
2020-06-03,306.5281142871253,316.9995716074929,295.1047063012697,296.48504638671875,982,APARINDS.BO
2020-06-04,301.7683702355256,302.3395464626211,296.29465374071714,300.05487060546875,309,APARINDS.BO
2020-06-05,281.015866704624,311.2878882537638,281.015866704624,306.7185363769531,1732,APARINDS.BO
2020-06-08,310.1931246015248,331.3264115659586,310.097923726436,317.9039306640625,8638,APARINDS.BO
2020-06-09,316.9995939466688,323.5680481911735,306.6233367718739,308.4320373535156,2849,APARINDS.BO
2020-06-10,310.193170429714,312.2398588159746,305.7189901005774,307.81329345703125,771,APARINDS.BO
2020-06-11,312.90623413228553,312.90623413228553,299.8644967788703,303.339111328125,418,APARINDS.BO
2020-06-12,289.3930197367389,295.9614739139385,289.1550320560344,294.4859619140625,979,APARINDS.BO
2020-06-15,299.1028977405301,305.5761503645212,296.05664412263576,300.8639831542969,516,APARINDS.BO
2020-06-16,305.0525994106412,307.48006196354623,291.96327788742525,294.7715148925781,2001,APARINDS.BO
2020-06-17,290.3449694108497,298.3413496433942,290.3449694108497,292.2488708496094,1112,APARINDS.BO
2020-06-18,293.2008275609589,307.4800886434731,292.2488768221246,303.7674865722656,3209,APARINDS.BO
2020-06-22,310.8119034687406,318.7130826561829,307.76564960904506,315.048095703125,2225,APARINDS.BO
2020-06-23,317.2375676278577,318.9034813363311,307.8608475156331,313.858154296875,2355,APARINDS.BO
2020-06-24,316.99956924303444,348.4139409698216,316.04761858464695,322.7112731933594,11190,APARINDS.BO
2020-06-25,319.8554382324219,332.08801065363997,314.1437339782715,319.8554382324219,8371,APARINDS.BO
2020-06-26,322.7113018534921,322.7113018534921,307.95606533806694,311.0023193359375,2190,APARINDS.BO
2020-06-29,311.2878832946321,316.38082542177807,307.4800804408751,313.810546875,2134,APARINDS.BO
2020-06-30,315.09566735519564,315.95241713594595,304.1006488912384,307.1944885253906,1780,APARINDS.BO
2020-07-01,303.7198708587265,315.19089466424833,297.00862978691833,310.1455383300781,5942,APARINDS.BO
2020-07-02,306.52813369523994,319.85544385590254,306.52813369523994,313.62017822265625,416,APARINDS.BO
2020-07-06,318.9034784750212,325.7099200411825,315.66685196641606,324.04400634765625,3749,APARINDS.BO
2020-07-07,326.51906798921425,327.6138054098363,318.57027437223417,324.9959411621094,6214,APARINDS.BO
2020-07-08,316.04760490136266,325.5671110730904,316.04760490136266,322.6160583496094,871,APARINDS.BO
2020-07-09,321.6165418890117,322.3780908097751,316.85678850616773,320.9501647949219,816,APARINDS.BO
2020-07-10,320.283841649117,320.8549888584727,316.52362456388056,319.9506530761719,413,APARINDS.BO
2020-07-13,316.0476419760732,329.279751296753,316.0476419760732,319.47467041015625,1262,APARINDS.BO
2020-07-14,317.42797675540925,318.9986896210445,302.72032662439244,304.67181396484375,2223,APARINDS.BO
2020-07-15,312.2398235926505,316.5711875738251,303.43427978706507,304.38623046875,424,APARINDS.BO
2020-07-16,304.7670358590646,305.3857980547062,294.15279049138564,295.2475280761719,1133,APARINDS.BO
2020-07-17,295.10472903151503,295.961478886199,292.05847504682635,294.6287536621094,1118,APARINDS.BO
2020-07-20,295.2950867991709,297.008586253218,293.2007838653563,295.9138488769531,581,APARINDS.BO
2020-07-21,297.0086109544031,300.24523744301933,291.48730865330646,293.0104064941406,3126,APARINDS.BO
2020-07-22,293.629153630196,295.9138290999747,292.106026966602,294.819091796875,833,APARINDS.BO
2020-07-23,295.9138821475945,296.1994557383015,286.63236278362746,291.5824890136719,3139,APARINDS.BO
2020-07-24,291.67770484258773,295.10473336285423,285.72801263769145,293.914794921875,991,APARINDS.BO
2020-07-27,295.1047155150877,295.1047155150877,287.6318967474436,288.1554870605469,1624,APARINDS.BO
2020-07-28,291.487319071935,291.487319071935,286.5371637586033,286.9179382324219,293,APARINDS.BO
2020-07-29,288.67903671135053,289.96417590843987,286.5371477332779,288.3934631347656,919,APARINDS.BO
2020-07-30,290.48778486641584,290.48778486641584,286.5371948014924,287.77471923828125,1630,APARINDS.BO
2020-07-31,288.8694576455183,291.7728957214385,286.5371667606949,288.1078796386719,732,APARINDS.BO
2020-08-03,285.5852402505628,290.96375646503515,285.1568507696938,286.2516174316406,1092,APARINDS.BO
2020-08-04,287.0131211324801,288.44104710826355,282.5389414545338,285.29962158203125,907,APARINDS.BO
2020-08-05,287.9650649315003,292.0108550999594,272.68626897463406,281.5393981933594,4318,APARINDS.BO
2020-08-06,281.4918395644705,295.1047232419117,281.4918395644705,288.1078796386719,8063,APARINDS.BO
2020-08-07,290.725742164291,302.29193752591993,287.44152963264486,289.155029296875,3706,APARINDS.BO
2020-08-10,292.3916666503522,292.3916666503522,286.48958943920366,286.6799621582031,5488,APARINDS.BO
2020-08-11,287.4891118727239,293.24840199670206,285.6327963841796,287.10833740234375,3838,APARINDS.BO
2020-08-12,287.4890897880823,289.39299104495706,284.3952502456609,285.6803894042969,1906,APARINDS.BO
2020-08-13,285.5852174720488,297.7225892146108,285.5852174720488,295.34271240234375,5403,APARINDS.BO
2020-08-14,300.67359011002566,306.33767850985447,291.5824448335949,296.1518249511719,3077,APARINDS.BO
2020-08-17,297.38937915007546,297.38937915007546,287.29869638535024,290.6305236816406,2449,APARINDS.BO
2020-08-18,291.2968826714254,298.9124874471489,287.4890802835636,295.9138488769531,4301,APARINDS.BO
2020-08-19,296.1518518881712,321.7593184646057,295.34268802853234,308.2416076660156,15214,APARINDS.BO
2020-08-20,308.0988315663831,320.3314036064751,304.6242173969451,307.67047119140625,5646,APARINDS.BO
2020-08-21,312.3825911781694,336.99052059697965,301.67314666767214,325.70989990234375,35135,APARINDS.BO
2020-08-24,336.9429623578533,358.6950126423637,325.8051275317472,331.421630859375,26147,APARINDS.BO
2020-08-25,335.0866361603721,339.7988036018689,323.6632281094503,326.1383056640625,9771,APARINDS.BO
2020-08-26,326.4238557274816,345.5580686444879,323.805991571084,343.1781921386719,8345,APARINDS.BO
2020-08-27,345.558087387421,346.6052389170225,334.8010566181662,335.6578063964844,13171,APARINDS.BO
2020-08-28,340.36996164167374,340.36996164167374,328.56577875537135,331.421630859375,2743,APARINDS.BO
2020-08-31,334.2299029094619,334.2299029094619,302.7679142479373,307.7656555175781,18558,APARINDS.BO
2020-09-01,304.7194116729091,313.09656584932935,300.10244516777453,303.9102478027344,3812,APARINDS.BO
2020-09-02,309.2411780435569,311.28786615451054,306.7185146020918,308.9079895019531,1041,APARINDS.BO
2020-09-03,309.38399930203013,321.2833838905698,298.0557909839868,312.3350524902344,4461,APARINDS.BO
2020-09-04,304.62421555186023,310.71669405265163,299.9596630614682,304.5766296386719,3324,APARINDS.BO
2020-09-07,305.52855696339276,311.00227291828196,304.57660636254246,307.2896423339844,5336,APARINDS.BO
2020-09-08,306.52812210928187,310.9071010925175,300.9116188498235,304.1958312988281,3576,APARINDS.BO
2020-09-09,299.86443927828606,304.43379054203587,291.39208474066874,300.38800048828125,4724,APARINDS.BO
2020-09-10,304.6241963793292,307.62283500219274,298.91249269721675,300.1976318359375,2777,APARINDS.BO
2020-09-11,300.9592076776379,305.576174378019,297.91298287158554,301.76837158203125,4180,APARINDS.BO
2020-09-14,310.2883459749911,317.9515375806187,305.86175192637256,309.3363952636719,1740,APARINDS.BO
2020-09-15,312.335012876036,312.71578732432835,304.7194077052761,308.2416076660156,5819,APARINDS.BO
2020-09-16,306.7185162630114,308.71758942100195,303.5294757210697,304.2434387207031,2067,APARINDS.BO
2020-09-17,303.29150949292983,306.6233370600654,303.24389452551793,304.2910461425781,543,APARINDS.BO
2020-09-18,305.5761874852624,307.95606433483607,298.0557824508557,299.6264953613281,13677,APARINDS.BO
2020-09-21,298.2937505328891,298.4841232376057,282.77693706264597,286.6323547363281,6427,APARINDS.BO
2020-09-22,286.6323202993666,288.29823378444115,269.0212348857208,274.3997497558594,9730,APARINDS.BO
2020-09-23,277.0176533509678,281.7774068449707,270.54440021961585,276.5892639160156,4237,APARINDS.BO
2020-09-24,266.5937796242235,275.87529886948676,266.5937796242235,274.0190124511719,4040,APARINDS.BO
2020-09-25,264.2139105672273,278.30279864605865,264.2139105672273,275.35174560546875,1567,APARINDS.BO
