Date,Open,High,Low,Close,Volume,Stock
,M&MFIN.BO,M&MFIN.BO,M&MFIN.BO,M&MFIN.BO,M&MFIN.BO,
2020-01-01,296.9503653639657,305.56824642163616,295.3918281817869,304.6056213378906,71838,M&MFIN.BO
2020-01-02,305.2931840147952,312.0774713972209,302.2677672564607,311.1606750488281,70351,M&MFIN.BO
2020-01-03,308.18110915870074,310.56478543223824,306.2100024630777,307.2643127441406,61904,M&MFIN.BO
2020-01-06,306.85179029089045,306.85179029089045,291.1745650280385,295.3459777832031,102778,M&MFIN.BO
2020-01-07,298.87563172993356,300.6633959331775,294.2916496481861,296.26275634765625,45656,M&MFIN.BO
2020-01-08,294.01660977614284,298.6922489237661,289.2492574165836,297.9129943847656,47517,M&MFIN.BO
2020-01-09,307.12677849103727,307.12677849103727,300.7092040151052,303.59710693359375,60326,M&MFIN.BO
2020-01-10,309.8771992464618,309.8771992464618,301.1676329954518,304.7431335449219,131312,M&MFIN.BO
2020-01-13,306.2100058292004,315.6529978116125,306.07249196118596,314.1402893066406,97497,M&MFIN.BO
2020-01-14,314.9195711156341,320.695377385781,314.4611729044032,317.9908447265625,46747,M&MFIN.BO
2020-01-15,316.93650571383426,325.6002143339003,315.37794074553256,323.8583068847656,78100,M&MFIN.BO
2020-01-16,323.7666273136673,331.4218824769344,323.7666273136673,329.17572021484375,58206,M&MFIN.BO
2020-01-17,329.22158076047583,331.23851597945514,325.0043118794759,330.04669189453125,49715,M&MFIN.BO
2020-01-20,330.9635175737933,330.9635175737933,318.861793274469,321.6121826171875,39094,M&MFIN.BO
2020-01-21,320.4203428934037,326.1961490417508,315.7446756417673,323.5374450683594,36847,M&MFIN.BO
2020-01-22,325.46271302527845,328.3047873825886,319.5035365896043,321.1996154785156,45569,M&MFIN.BO
2020-01-23,323.58330521261433,335.40997334656663,320.87874460245973,333.9889221191406,189919,M&MFIN.BO
2020-01-24,335.5474745100636,340.31482686932816,332.79708537473516,338.06866455078125,60493,M&MFIN.BO
2020-01-27,335.4557917267218,341.59833869851605,317.80746131279386,323.07904052734375,119813,M&MFIN.BO
2020-01-28,328.0297370925493,333.4388581753158,317.16572225569746,322.9415283203125,136997,M&MFIN.BO
2020-01-29,329.3591343423595,348.3826612389606,329.1757638556073,337.381103515625,478545,M&MFIN.BO
2020-01-30,338.29788619378616,340.31484955215797,330.13840347747646,337.747802734375,74220,M&MFIN.BO
2020-01-31,339.30634525736,346.22814672324114,334.72236336514607,338.06866455078125,88712,M&MFIN.BO
2020-02-03,321.7955349409446,332.70540645579695,318.22003459283746,320.37451171875,58706,M&MFIN.BO
2020-02-04,325.0043132255441,339.62722652113007,325.0043132255441,337.3352355957031,176242,M&MFIN.BO
2020-02-05,339.1688463298998,359.70508051554907,339.1688463298998,355.7170104980469,159665,M&MFIN.BO
2020-02-06,357.55062748554724,366.6269070491141,352.46241820884694,358.8341369628906,124352,M&MFIN.BO
2020-02-07,349.2994459815127,367.1311480504095,349.2994459815127,365.3433837890625,375382,M&MFIN.BO
2020-02-10,365.29753906605976,365.29753906605976,358.74242238215777,361.1260986328125,42972,M&MFIN.BO
2020-02-11,362.13461157460563,369.4689834545976,357.5964577824972,358.6966247558594,84755,M&MFIN.BO
2020-02-12,360.9886159683569,362.7305236941733,353.791757965433,358.6966247558594,43892,M&MFIN.BO
2020-02-13,358.650761383341,360.3468123335796,353.19581163461095,355.6711730957031,30781,M&MFIN.BO
2020-02-14,352.9666225421282,358.5590863131523,349.8036636942193,353.012451171875,45873,M&MFIN.BO
2020-02-17,355.5336050957904,355.9920032601627,341.9650306217319,343.8444519042969,39187,M&MFIN.BO
2020-02-18,341.5983368285252,341.7358506898622,334.49316488259245,339.21466064453125,42573,M&MFIN.BO
2020-02-19,347.1908470194797,351.4539451644917,343.0194061420781,350.5829772949219,37866,M&MFIN.BO
