Date,Open,High,Low,Close,Volume,Stock
,PAGEIND.BO,PAGEIND.BO,PAGEIND.BO,PAGEIND.BO,PAGEIND.BO,
2020-01-01,21994.641813922575,22393.2923288019,21884.619710631905,22212.3359375,387,PAGEIND.BO
2020-01-02,22274.46934341579,22431.671302494604,22013.970327058116,22191.962890625,570,PAGEIND.BO
2020-01-03,22095.8160814669,22223.76051826511,21849.47636972194,21921.255859375,671,PAGEIND.BO
2020-01-06,21825.82016204465,21843.97772155109,21304.8698208924,21510.240234375,768,PAGEIND.BO
2020-01-07,21581.21260935687,21807.93764156502,21308.2484738396,21498.84765625,826,PAGEIND.BO
2020-01-08,21324.571604226378,21637.659869839612,21158.85682260774,21461.642578125,572,PAGEIND.BO
2020-01-09,21673.03495245006,22250.102369684453,21600.972496314098,22136.08203125,849,PAGEIND.BO
2020-01-10,22128.885452009523,22455.61306226485,22035.701650536725,22315.673828125,719,PAGEIND.BO
2020-01-13,22388.016821251156,22388.016821251156,21668.612374853623,21772.33203125,772,PAGEIND.BO
2020-01-14,21755.49467148818,22808.871840910568,21755.49467148818,22504.72265625,2198,PAGEIND.BO
2020-01-15,22326.729957417847,22927.6933223068,22326.729957417847,22852.71484375,17781,PAGEIND.BO
2020-01-16,22922.75012954842,24081.588737361617,22919.927825912673,23973.494140625,1738,PAGEIND.BO
2020-01-17,23924.811773195514,24422.336547587518,23798.794800912194,24302.294921875,2944,PAGEIND.BO
2020-01-20,24302.860361705894,24777.900440404992,23718.643418856853,23842.306640625,1587,PAGEIND.BO
2020-01-21,23919.02744213798,24098.57265527316,23697.52434186222,23792.494140625,449,PAGEIND.BO
2020-01-22,23850.442259722495,24201.583889433885,23813.800083840753,23913.521484375,489,PAGEIND.BO
2020-01-23,23956.65660518234,24441.387306765697,23857.969676615576,24314.1484375,406,PAGEIND.BO
2020-01-24,24289.82990279018,25298.19169236108,24274.11797509761,24620.697265625,3260,PAGEIND.BO
2020-01-27,24554.985111330032,25151.4320122374,24531.37220245668,24737.400390625,1372,PAGEIND.BO
2020-01-28,24831.282631146583,24964.59052826758,23566.232930146634,23656.263671875,2149,PAGEIND.BO
2020-01-29,23622.680580741868,23823.769707549258,23237.906532254277,23562.048828125,1378,PAGEIND.BO
