Date,Open,High,Low,Close,Volume,Stock
,BBTC.NS,BBTC.NS,BBTC.NS,BBTC.NS,BBTC.NS,
2020-01-01,1036.8499755859375,1043.949951171875,1022.9500122070312,1029.199951171875,44974,BBTC.NS
2020-01-02,1033.0,1072.75,1026.3499755859375,1058.75,208020,BBTC.NS
2020-01-03,1055.800048828125,1078.9000244140625,1039.050048828125,1070.800048828125,159352,BBTC.NS
2020-01-06,1063.9000244140625,1066.9000244140625,1035.0,1049.9000244140625,126626,BBTC.NS
2020-01-07,1065.0,1132.0,1064.050048828125,1114.75,280475,BBTC.NS
2020-01-08,1105.0,1144.3499755859375,1102.4000244140625,1109.550048828125,291651,BBTC.NS
2020-01-09,1124.0,1139.9000244140625,1108.199951171875,1129.4000244140625,171827,BBTC.NS
2020-01-10,1137.699951171875,1155.0,1109.0,1114.5,147819,BBTC.NS
2020-01-13,1120.0,1130.0,1110.0,1123.5999755859375,95819,BBTC.NS
2020-01-14,1128.9000244140625,1137.699951171875,1118.0,1123.1500244140625,73580,BBTC.NS
2020-01-15,1127.9000244140625,1129.699951171875,1110.0,1118.0,43836,BBTC.NS
2020-01-16,1122.199951171875,1173.0,1109.9000244140625,1158.0,197705,BBTC.NS
2020-01-17,1173.550048828125,1185.0,1140.25,1144.3499755859375,127959,BBTC.NS
2020-01-20,1149.0,1153.800048828125,1126.1500244140625,1129.9000244140625,47989,BBTC.NS
2020-01-21,1121.699951171875,1144.0,1116.550048828125,1134.550048828125,75686,BBTC.NS
2020-01-22,1136.300048828125,1147.9000244140625,1122.0,1130.25,50147,BBTC.NS
2020-01-23,1126.0,1147.6500244140625,1125.0999755859375,1140.4000244140625,62110,BBTC.NS
2020-01-24,1140.0,1215.0,1131.0999755859375,1198.9000244140625,275371,BBTC.NS
2020-01-27,1190.0,1235.0,1177.0,1187.8499755859375,256156,BBTC.NS
2020-01-28,1193.8499755859375,1210.0,1160.0,1169.300048828125,99153,BBTC.NS
2020-01-29,1180.0,1203.800048828125,1170.1500244140625,1188.75,163235,BBTC.NS
2020-01-30,1191.949951171875,1196.699951171875,1140.1500244140625,1149.5,88218,BBTC.NS
2020-01-31,1155.949951171875,1157.8499755859375,1124.0,1132.25,58867,BBTC.NS
2020-02-03,1118.699951171875,1141.9000244140625,1090.0,1118.1500244140625,73395,BBTC.NS
2020-02-04,1128.5,1153.0,1124.050048828125,1143.9000244140625,63160,BBTC.NS
2020-02-05,1149.0,1181.3499755859375,1140.0,1147.9000244140625,95462,BBTC.NS
2020-02-06,1156.800048828125,1158.3499755859375,1140.0,1146.9000244140625,42583,BBTC.NS
2020-02-07,1148.0,1154.4000244140625,1127.0,1132.199951171875,50067,BBTC.NS
2020-02-10,1138.8499755859375,1229.9000244140625,1136.199951171875,1187.0999755859375,672592,BBTC.NS
2020-02-11,1204.0,1209.9000244140625,1172.5999755859375,1178.9000244140625,191873,BBTC.NS
2020-02-12,1180.050048828125,1188.050048828125,1160.0,1167.0999755859375,75695,BBTC.NS
2020-02-13,1172.0,1184.800048828125,1158.8499755859375,1163.300048828125,56606,BBTC.NS
2020-02-14,1200.0,1218.9000244140625,1145.550048828125,1155.5999755859375,140415,BBTC.NS
2020-02-17,1155.5999755859375,1167.9000244140625,1125.0,1128.550048828125,59099,BBTC.NS
2020-02-18,1130.0,1135.0,1106.4000244140625,1120.0999755859375,41761,BBTC.NS
2020-02-19,1130.0,1147.0,1116.199951171875,1122.25,60121,BBTC.NS
2020-02-20,1122.25,1129.5,1090.0,1093.699951171875,63089,BBTC.NS
2020-02-24,1082.0,1108.0,1082.0,1092.25,50294,BBTC.NS
2020-02-25,1098.0,1104.9000244140625,1065.0,1076.550048828125,26901,BBTC.NS
2020-02-26,1068.550048828125,1109.800048828125,1055.0999755859375,1099.449951171875,70895,BBTC.NS
2020-02-27,1103.0,1109.699951171875,1080.0,1098.5999755859375,37532,BBTC.NS
2020-02-28,1063.5999755859375,1078.0,1052.949951171875,1069.449951171875,45702,BBTC.NS
2020-03-02,1083.9000244140625,1108.0,1053.0,1092.25,65206,BBTC.NS
2020-03-03,1108.0999755859375,1130.0,1085.0,1102.449951171875,45630,BBTC.NS
2020-03-04,1103.9000244140625,1107.949951171875,1070.0,1096.0,95812,BBTC.NS
2020-03-05,1093.0,1115.0,1085.0,1089.75,30552,BBTC.NS
2020-03-06,1054.0,1142.0,1044.0,1119.5999755859375,69377,BBTC.NS
2020-03-09,1117.0,1117.0,1060.0,1084.75,80429,BBTC.NS
2020-03-11,1081.0,1093.6500244140625,1070.0,1081.0999755859375,44475,BBTC.NS
2020-03-12,1050.3499755859375,1050.3499755859375,985.0,1000.0,99008,BBTC.NS
2020-03-13,900.0,1034.949951171875,800.0,1004.0499877929688,84166,BBTC.NS
2020-03-16,976.0,976.0,940.0,950.3499755859375,64930,BBTC.NS
2020-03-17,941.0,1009.0,864.0,885.9500122070312,62179,BBTC.NS
2020-03-18,904.0,904.9500122070312,760.0999755859375,774.4500122070312,77250,BBTC.NS
2020-03-19,750.0,755.4500122070312,701.0,728.5999755859375,63142,BBTC.NS
2020-03-20,740.0,770.0,725.0,738.9500122070312,58306,BBTC.NS
2020-03-23,670.0,691.8499755859375,591.2000122070312,594.25,62470,BBTC.NS
2020-03-24,630.0,630.0,535.0,607.9500122070312,57627,BBTC.NS
2020-03-25,607.9500122070312,665.0,555.0,648.9500122070312,35878,BBTC.NS
2020-03-26,645.0,713.7999877929688,633.0,697.0499877929688,56402,BBTC.NS
2020-03-27,745.0,756.0,675.3499755859375,704.25,58229,BBTC.NS
