ds,y
2020-01-01,3151.2595605642605
2020-01-02,3185.3580073190624
2020-01-03,3191.391504873765
2020-01-06,3166.480233564886
2020-01-07,3182.1130406781253
2020-01-08,3149.339113770663
2020-01-09,3152.996119132401
2020-01-10,3140.197540548741
2020-01-13,3126.439515076815
2020-01-14,3128.1309135171005
2020-01-15,3131.9700175558746
2020-01-16,3127.3536920559272
2020-01-17,3126.4399738972065
2020-01-20,3112.7726358118334
2020-01-21,3092.66088405383
2020-01-22,3099.014216995409
2020-01-23,3083.427349362541
2020-01-24,3071.5428302664664
2020-01-27,3083.290312531187
2020-01-28,3069.9890486024
2020-01-29,3133.798494148248
2020-01-30,3183.895335910749
2020-01-31,3199.6196430046816
2020-02-03,3314.2571747593106
2020-02-04,3446.447454909274
2020-02-05,3610.9989283202367
2020-02-06,3574.339993042172
2020-02-07,3515.010019897816
2020-02-10,3467.473260043529
2020-02-11,3537.819005929335
2020-02-12,3535.122009638887
2020-02-13,3589.0585089721635
2020-02-14,3601.6287910101555
2020-02-17,3446.4475797428645
2020-02-18,3408.9660241644774
2020-02-19,3478.9002561011807
2020-02-20,3446.447436530105
2020-02-24,3419.0220447396223
2020-02-25,3428.1634518551805
2020-02-26,3334.9178240740744
2020-02-27,3221.2392105207737
2020-02-28,3135.6267277059696
2020-03-02,3163.0524333711664
2020-03-03,3180.3319558583626
2020-03-04,3150.8213579160965
2020-03-05,3143.375015494622
2020-03-06,3089.720434881667
2020-03-09,2912.151183918562
2020-03-11,2851.7899781742058
2020-03-12,2783.796637769508
2020-03-13,2844.6202150374497
2020-03-16,2704.8409754153595
2020-03-17,2570.5648937766427
2020-03-18,2571.6753467863405
2020-03-19,2284.623335751233
2020-03-20,2237.9993967113032
2020-03-23,2034.1577399608136
2020-03-24,1790.445360116025
2020-03-25,1552.7463724561603
2020-03-26,1622.54345703125
2020-03-27,1784.7564945043075
2020-03-30,1756.726492082866
2020-03-31,1762.2770705867804
2020-04-01,1682.7201008621971
2020-04-03,1785.4041452785154
2020-04-07,1869.308772169314
2020-04-08,1918.4766806813136
2020-04-09,1952.7509124935343
2020-04-13,1988.921655651742
2020-04-15,1993.5009346511024
2020-04-16,1933.4169336948485
2020-04-17,1988.8752810373985
2020-04-20,1986.146482415744
2020-04-21,1948.2178623363525
2020-04-22,1837.208593470118
2020-04-23,1854.784939358434
2020-04-24,1780.131022181352
2020-04-27,1789.9830946674908
2020-04-28,1798.3552198544112
2020-04-29,1928.7451751694864
2020-04-30,1921.3908934159308
2020-05-04,1850.1596247050556
2020-05-05,1831.5654899572055
2020-05-06,1785.404236928698
2020-05-07,1775.413195515712
2020-05-08,1793.6835651041392
2020-05-11,1793.0358607932508
2020-05-12,1781.2411999440371
2020-05-13,1868.6613119414108
2020-05-14,1821.435783368712
2020-05-15,1787.2541763549375
2020-05-18,1789.9831946190077
2020-05-19,1764.543321498457
2020-05-20,1774.950414557532
2020-05-21,1873.2865690180915
2020-05-22,1857.7916218852035
2020-05-26,1859.4102682084745
2020-05-27,1878.282220203987
2020-05-28,1868.6147289594512
2020-05-29,1858.3928070127229
2020-06-01,1984.296273806665
2020-06-02,2039.8007838897977
2020-06-03,2192.4392722076173
2020-06-04,2173.937749806842
2020-06-05,2306.964005069636
2020-06-08,2389.573683632178
2020-06-09,2357.982157451795
2020-06-10,2341.562050226038
2020-06-11,2298.314700342529
2020-06-12,2201.2275629415008
2020-06-15,2206.3150045262705
2020-06-16,2201.690120279349
2020-06-17,2196.000616317064
2020-06-18,2238.693084230189
2020-06-19,2377.40857359068
2020-06-22,2567.096505734644
2020-06-23,2761.270688236219
2020-06-24,2779.8650894601774
2020-06-25,2673.4807681124507
2020-06-26,2613.349976105348
2020-06-29,2562.47099663445
2020-06-30,2455.901998371718
2020-07-01,2404.791231542454
2020-07-02,2441.285685252258
2020-07-03,2421.8127299281064
2020-07-06,2469.916862455079
2020-07-07,2671.6305486176943
2020-07-08,2680.835160554861
2020-07-09,2626.3018879539677
2020-07-10,2613.3505791477505
2020-07-13,2557.845715496764
2020-07-14,2512.517035086264
2020-07-15,2483.7929937801773
2020-07-16,2432.9597519064564
2020-07-17,2449.6112748039163
2020-07-20,2539.344496298901
2020-07-21,2578.197199796254
2020-07-22,2563.766207597372
2020-07-23,2488.464757014732
2020-07-24,2483.792946705149
2020-07-27,2493.4139582152416
2020-07-28,2539.251583211073
2020-07-29,2543.969133589264
2020-07-30,2515.292072231683
2020-07-31,2475.5137354258777
2020-08-03,2451.461249402775
2020-08-04,2451.184041413505
2020-08-05,2464.4129047180168
2020-08-06,2496.790694648196
2020-08-07,2513.5809076146056
2020-08-10,2555.949303061166
2020-08-11,2545.8195459762587
2020-08-12,2533.793659368563
2020-08-13,2528.798014038298
2020-08-14,2504.560779035065
2020-08-17,2467.4192945520317
2020-08-18,2446.8360320929696
2020-08-19,2455.115307239236
2020-08-20,2432.913304573296
2020-08-21,2491.239868836744
2020-08-24,2499.751179404863
2020-08-25,2485.550567233433
2020-08-26,2590.084727776058
2020-08-27,2653.0822621446464
2020-08-28,2664.229842766815
2020-08-31,2604.238252255416
2020-09-01,2523.3402728861697
2020-09-02,2469.777950488573
2020-09-03,2475.420825663414
2020-09-04,2449.426306445335
2020-09-07,2432.9601606874703
2020-09-08,2335.826351898889
2020-09-09,2265.2892713680067
2020-09-10,2317.324591919603
2020-09-11,2306.7787819408354
2020-09-14,2311.1268620292703
2020-09-15,2328.472502541161
2020-09-16,2342.302034980305
2020-09-17,2340.4517499985027
2020-09-18,2423.7554363893423
2020-09-21,2419.0838133711527
2020-09-22,2321.580546254488
2020-09-23,2347.8527221618524
2020-09-24,2275.696759873507
2020-09-25,2311.7745033773617
2020-09-28,2331.201100131346
2020-09-29,2321.0252933683946
2020-09-30,2263.161530359649
2020-10-01,2302.5235612896126
2020-10-05,2293.226341486493
2020-10-06,2288.6475704005597
2020-10-07,2286.7972926645552
2020-10-08,2268.2955023430604
2020-10-09,2247.9438111159457
2020-10-12,2242.7632741332245
2020-10-13,2238.3691519953004
2020-10-14,2238.6933370419697
2020-10-15,2238.692800923391
2020-10-16,2218.0637237315286
2020-10-19,2209.922961343233
2020-10-20,2198.359516043156
2020-10-21,2201.596990594895
2020-10-22,2173.9376812453484
2020-10-23,2157.286245975968
2020-10-26,2132.7251511821264
2020-10-27,2139.7098316613065
2020-10-28,2134.575171488161
2020-10-29,2110.0141481977585
2020-10-30,2152.197971305353
2020-11-02,2156.9164759196165
2020-11-03,2169.681827771257
2020-11-04,2148.2667913787604
2020-11-05,2198.914396871521
2020-11-06,2265.5202803014954
2020-11-09,2279.3503234166674
2020-11-10,2347.8524460795848
2020-11-11,2526.3927077507906
2020-11-12,2524.2649523714567
2020-11-13,2511.591493428501
2020-11-14,2527.6880303627318
2020-11-17,2568.0218915299097
2020-11-18,2557.8455604513747
2020-11-19,2774.3145152084885
2020-11-20,2799.3840525454143
2020-11-23,3033.336754365004
2020-11-24,3097.9535527337675
2020-11-25,2912.891168691076
2020-11-26,2844.620369300861
2020-11-27,2857.571152718278
2020-12-01,2882.0862569178635
2020-12-02,2908.636114017743
2020-12-03,2914.0010863642487
2020-12-04,2937.1284315584303
2020-12-07,2959.330081994978
2020-12-08,2899.107541101429
2020-12-09,2869.365820391482
2020-12-10,2839.0239715329444
2020-12-11,2886.249043289248
2020-12-14,2880.698588742982
2020-12-15,2906.091725361316
2020-12-16,2933.334994318789
2020-12-17,2926.0272919430777
2020-12-18,2894.5745201276795
2020-12-21,2873.6218092065205
2020-12-22,2950.079655303444
2020-12-23,2856.183762213198
2020-12-24,2877.87708602267
2020-12-28,2891.475770980016
2020-12-29,2911.225910531137
2020-12-30,2890.8743988872534
2020-12-31,2890.8745166963204
2021-01-01,2901.8362490182685
2021-01-04,2916.313961058383
2021-01-05,2906.8325773843785
2021-01-06,2901.975300939888
2021-01-07,2904.7504587904946
2021-01-08,2914.001830684312
2021-01-11,2914.0018824719887
2021-01-12,2997.258584806137
2021-01-13,2997.2120937701416
2021-01-14,3013.4010943013427
2021-01-15,2987.9615231318394
2021-01-18,2967.563689355285
2021-01-19,3006.5097816206157
2021-01-20,3028.480596470171
2021-01-21,3034.26188448257
2021-01-22,3052.3932987921007
2021-01-25,3080.5153487982607
2021-01-27,3051.1443693820675
2021-01-28,2996.240951366629
2021-01-29,3026.2602295411957
2021-02-01,3108.0832852398344
2021-02-02,3190.600191973333
2021-02-03,3146.150098390725
2021-02-04,3173.0238852993857
2021-02-05,3265.439155105564
2021-02-08,3300.915961083211
2021-02-09,3294.2090422630445
2021-02-10,3292.3591640601944
2021-02-11,3302.534812702884
2021-02-12,3321.036372998596
2021-02-15,3328.8998988474573
2021-02-16,3368.123084181172
2021-02-17,3350.1765696546763
2021-02-18,3338.56671088306
2021-02-19,3372.74808272296
2021-02-22,3353.9232450476625
2021-02-23,3397.910769484687
2021-02-24,3396.8931550143443
2021-02-25,3475.663404047182
2021-02-26,3445.9222186600728
2021-03-01,3416.5972152078302
2021-03-02,3418.632559055572
2021-03-03,3445.783647882082
2021-03-04,3401.148519707751
2021-03-05,3389.4926059997947
2021-03-08,3344.070873097863
2021-03-09,3353.414341169069
2021-03-10,3374.5063591287417
2021-03-12,3373.9969201577505
2021-03-15,3348.789122656418
2021-03-16,3319.185973698594
2021-03-17,3264.606532949607
2021-03-18,3366.365253628829
2021-03-19,3336.762837140475
2021-03-22,3196.150511699743
2021-03-23,3222.977927521922
2021-03-24,3191.849522799795
2021-03-25,3168.6759539753675
2021-03-26,3052.763108881196
2021-03-30,3114.9751585650315
2021-03-31,3060.996608548018
2021-04-01,3126.769312443625
2021-04-05,3125.8447698119635
2021-04-06,3099.0175773901897
2021-04-07,3131.3949899893937
2021-04-08,3144.253199937915
2021-04-09,3161.275394846791
2021-04-12,3114.605149781162
2021-04-13,3160.026154098533
2021-04-15,3108.268097395526
2021-04-16,3145.271610555576
2021-04-19,3099.0173790399867
2021-04-20,3144.0687662316136
2021-04-22,3141.155071633825
2021-04-23,3182.413074914014
2021-04-26,3173.02381108446
2021-04-27,3182.2282439660253
2021-04-28,3237.7792006782474
2021-04-29,3388.567366518368
2021-04-30,3375.6162862465376
2021-05-03,3208.1767452443783
2021-05-04,3223.9029342908466
2021-05-05,3236.854143209959
2021-05-06,3199.527244839448
2021-05-07,3291.4801631757173
2021-05-10,3286.161023746813
2021-05-11,3290.509217322811
2021-05-12,3284.033302635158
2021-05-14,3284.033002947147
2021-05-17,3302.5348259966568
2021-05-18,3348.788861878573
2021-05-19,3401.518369530253
2021-05-20,3390.417561425506
2021-05-21,3386.485763708208
2021-05-24,3364.7464927931683
2021-05-25,3317.475349114646
2021-05-26,3328.4375630336613
2021-05-27,3352.119293072601
2021-05-28,3347.262669914947
2021-05-31,3293.283775170717
2021-06-01,3316.225989577517
2021-06-02,3271.591199506507
2021-06-03,3270.9892986876407
2021-06-04,3279.130566624388
2021-06-07,3279.3617813318237
2021-06-08,3257.945642964088
2021-06-09,3247.030183786376
2021-06-10,3275.70778950411
2021-06-11,3301.4712159161704
2021-06-14,3261.1835387583983
2021-06-15,3282.1831386294207
2021-06-16,3307.1604039986864
2021-06-17,3289.0749660360484
2021-06-18,3275.2451801540847
2021-06-21,3251.655383664081
2021-06-22,3324.7372064026613
2021-06-23,3418.123566953253
2021-06-24,3386.717215116377
2021-06-25,3413.544687737829
2021-06-28,3409.0116763284764
2021-06-29,3391.204001784038
2021-06-30,3356.189328969098
2021-07-01,3375.5239118334257
2021-07-02,3449.6227061271925
2021-07-05,3496.29290995
2021-07-06,3595.6923544458955
2021-07-07,3559.661015858919
2021-07-08,3539.661240006668
2021-07-09,3549.1041701452727
2021-07-12,3618.291247039189
2021-07-13,3681.8683235012754
2021-07-14,3669.713748557234
2021-07-15,3664.0573635441056
2021-07-16,3757.085191048465
2021-07-19,3795.933271722474
2021-07-20,3682.896908216229
2021-07-22,3692.292898855536
2021-07-23,3735.955703300685
2021-07-26,3636.055047331925
2021-07-27,3663.121860084402
2021-07-28,3671.396678242092
2021-07-29,3751.055356297403
2021-07-30,3771.53088658752
2021-08-02,3814.632008210552
2021-08-03,3757.459887226829
2021-08-04,3756.384757989146
2021-08-05,3734.2256308662086
2021-08-06,3754.701319727804
2021-08-09,3753.860063931525
2021-08-10,3758.534790083989
2021-08-11,3758.4879647077582
2021-08-12,3814.6323006155712
2021-08-13,3954.875662480457
2021-08-16,3959.55090379622
2021-08-17,3903.4072642340784
2021-08-18,3917.431184599135
2021-08-20,3894.1038922724592
2021-08-23,3896.347627664356
2021-08-24,3912.7565905017536
2021-08-25,3986.945515487564
2021-08-26,3923.88227685227
2021-08-27,3926.827561225609
2021-08-30,4019.388025757865
2021-08-31,4111.01417481001
2021-09-01,4109.705332420781
2021-09-02,4102.927087066264
2021-09-03,4109.892264439724
2021-09-06,4109.098219975378
2021-09-07,4018.45333890253
2021-09-08,4081.0953861272255
2021-09-09,4057.1139004230654
2021-09-13,4029.5328698614935
2021-09-14,4048.325686326639
2021-09-15,4065.201292794811
2021-09-16,4062.6762949355175
2021-09-17,4603.644139448639
2021-09-20,4487.802706007715
2021-09-21,4431.658605553106
2021-09-22,4486.867343161176
2021-09-23,4657.264051914985
2021-09-24,4686.434908251032
2021-09-27,4768.291271871369
2021-09-28,4716.853770451039
2021-09-29,4585.794337864125
2021-09-30,4610.073109024782
2021-10-01,4665.345174064328
2021-10-04,4712.04604072878
2021-10-05,4712.997744553781
2021-10-06,4653.965966195592
2021-10-07,4606.360603890925
2021-10-08,4563.4679596994965
2021-10-11,4551.137210485029
2021-10-12,4559.848421951145
2021-10-13,4564.467438716685
2021-10-14,4577.796955702956
2021-10-18,4566.942014361653
2021-10-19,4680.149699614982
2021-10-20,4653.9670449439645
2021-10-21,4593.221147408309
2021-10-22,4569.941760857994
2021-10-25,4555.707000092586
2021-10-26,4549.232921160789
2021-10-27,4712.99798770985
2021-10-28,4555.8982257704565
2021-10-29,4846.294351175477
2021-11-01,4648.682453917956
2021-11-02,4643.492944078132
2021-11-03,4741.56167730534
2021-11-04,4732.040433065655
2021-11-08,4825.110386094593
2021-11-09,4846.295211522374
2021-11-10,4846.294940547691
2021-11-11,4912.943232583657
2021-11-12,4753.034698298515
2021-11-15,4812.970344467606
2021-11-16,4732.992599062021
2021-11-17,4745.322473383881
2021-11-18,4729.612892367187
2021-11-22,4694.907456368527
2021-11-23,4783.12149773546
2021-11-24,4771.7435442645165
2021-11-25,4735.847993560747
2021-11-26,4854.863813093774
2021-11-29,4841.249290764836
2021-11-30,4836.773431792114
2021-12-01,4965.2145100876605
2021-12-02,5136.595745241394
2021-12-03,5208.100091125663
2021-12-06,5261.990311591486
2021-12-07,5150.972980842304
2021-12-08,5283.318133706253
2021-12-09,5298.314618668947
2021-12-10,5389.002946502953
2021-12-13,5389.383982921363
2021-12-14,5291.601369824472
2021-12-15,5291.886793334064
2021-12-16,5275.60646414954
2021-12-17,4949.838139401566
2021-12-20,4790.9764897971045
2021-12-21,4836.77377151688
2021-12-22,4970.070487761369
2021-12-23,5028.054120212372
2021-12-24,4893.900374151416
2021-12-27,4882.904268443473
2021-12-28,4893.900841831169
2021-12-29,4880.1898344894735
2021-12-30,4935.698982967369
2021-12-31,5322.355444636587
2022-01-03,5179.1559595885865
2022-01-04,5160.494789206773
2022-01-05,5146.212971644867
2022-01-06,5098.60674389595
2022-01-07,5041.479365571327
2022-01-10,4997.6817896469975
2022-01-11,5004.680232085258
2022-01-12,5084.325074053766
2022-01-13,5112.888690300708
2022-01-14,5188.105799382271
2022-01-17,5253.802067536077
2022-01-18,5319.498009826257
2022-01-19,5284.270253876982
2022-01-20,5254.6591717477095
2022-01-21,5189.05811999463
2022-01-24,5158.971277558774
2022-01-25,4984.35201080763
2022-01-27,4954.122136430293
2022-01-28,4923.226173796191
2022-01-31,4922.940299744607
2022-02-01,5022.959631225899
2022-02-02,5017.581413806326
2022-02-03,5036.7180785707305
2022-02-04,5036.671363709399
2022-02-07,5016.152774550329
2022-02-08,4949.647643723252
2022-02-09,4996.30191215574
2022-02-10,5006.680056192804
2022-02-11,4991.016903352972
2022-02-14,4948.600374268673
2022-02-15,4945.219842398701
2022-02-16,5089.0854147662085
2022-02-17,5109.080247816478
2022-02-18,5122.409880592183
2022-02-21,5119.553136036533
2022-02-22,5013.582125576012
2022-02-23,5027.150198654634
2022-02-24,4903.421737681812
2022-02-25,4989.065830765419
2022-02-28,4974.735705551816
2022-03-02,4988.779849075952
2022-03-03,4912.943521135414
2022-03-04,4901.421976849234
2022-03-07,4769.60208961129
2022-03-08,4750.130749779026
2022-03-09,4855.815601602018
2022-03-10,4998.634101767287
2022-03-11,4808.9706304401
2022-03-14,4775.694888848439
2022-03-15,4766.316394320392
2022-03-16,4847.198878333711
2022-03-17,4855.81564227402
2022-03-21,4800.163781472354
2022-03-22,4795.498413493144
2022-03-23,4855.815706008679
2022-03-24,4840.724853445268
2022-03-25,4890.854265757687
2022-03-28,4817.397200284754
2022-03-29,4874.857758922988
2022-03-30,4914.990650646993
2022-03-31,4993.825416618314
2022-04-01,5217.621435409468
2022-04-04,5882.725792582663
2022-04-05,6282.092470299879
2022-04-06,5997.408878317942
2022-04-07,6039.111862457263
2022-04-08,6007.882080748109
2022-04-11,5974.55867405408
2022-04-12,5860.350913515719
2022-04-13,5611.800075901073
2022-04-18,5234.664217744379
2022-04-19,5119.553651212939
2022-04-20,5041.622051220646
2022-04-21,5155.115271498618
2022-04-22,5122.409430986267
2022-04-25,5173.919126558467
2022-04-26,5235.711948518487
2022-04-27,5179.489997290422
2022-04-28,5303.312940355384
2022-04-29,5346.0148871051215
2022-05-02,5112.888999588224
2022-05-04,5189.058428544886
2022-05-05,5103.366710639012
2022-05-06,4811.113161047999
2022-05-09,4855.720812155483
2022-05-10,4849.960882191999
2022-05-11,5007.203009449843
2022-05-12,4809.066535115829
2022-05-13,4741.989540989968
2022-05-16,4792.166690063435
2022-05-17,4758.699472150492
2022-05-18,4808.210178972043
2022-05-19,4638.780337420764
2022-05-20,4711.093727825347
2022-05-23,4741.561008278138
2022-05-24,4759.366551226688
2022-05-25,4736.658151678423
2022-05-26,4712.997568052417
2022-05-27,4817.731396534198
2022-05-30,4833.821716843786
2022-05-31,4951.027786368936
2022-06-01,4927.225436948483
2022-06-02,4812.637453540526
2022-06-03,4855.816457222381
2022-06-06,4854.863865280227
2022-06-07,4770.125294975366
2022-06-08,4756.081629029627
2022-06-09,4727.279285919023
2022-06-10,4792.976223922036
2022-06-13,4740.561607723663
2022-06-14,4769.934219489096
2022-06-15,4826.44260355709
2022-06-16,4771.220566224961
2022-06-17,4555.37440360499
2022-06-20,4327.38896211503
2022-06-21,4492.96226115552
2022-06-22,4401.036161474218
2022-06-23,4355.0003692407845
2022-06-24,4447.356408089787
2022-06-27,4558.7065743380535
2022-06-28,4538.997641538691
2022-06-29,4712.04616080722
2022-06-30,4654.880288036088
2022-07-01,4456.698317020246
2022-07-04,4461.4859732451705
2022-07-05,4547.652001782341
2022-07-06,4595.5214918357815
2022-07-07,4652.965609395539
2022-07-08,4677.426976677847
2022-07-11,4720.940801350294
2022-07-12,4785.087061077367
2022-07-13,4754.018183163482
2022-07-14,4624.483326341181
2022-07-15,4600.1648711925445
2022-07-18,4585.707639513427
2022-07-19,4608.9252512422645
2022-07-20,4649.518920687266
2022-07-21,4657.752415527274
2022-07-22,4666.273045545982
2022-07-25,4679.773332054586
2022-07-26,4839.658399673383
2022-07-27,4712.325079350758
2022-07-28,5021.564678557982
2022-07-29,5236.692224655811
2022-08-01,5046.457234758948
2022-08-02,5109.119664713672
2022-08-03,5091.455024562233
2022-08-04,5141.239826407968
2022-08-05,5161.2495701110975
2022-08-08,5173.504420369837
2022-08-10,5141.861784934356
2022-08-11,5169.961762231168
2022-08-12,5121.13458228451
2022-08-16,5132.5757105523735
2022-08-17,5216.874172095535
2022-08-18,5457.182007166991
2022-08-19,5356.128520752849
2022-08-22,5235.448136872
2022-08-23,5208.257388562174
2022-08-24,5213.044677884244
2022-08-25,5241.6230496423805
2022-08-26,5239.851638359148
2022-08-29,5206.199525120361
2022-08-30,5302.657707076267
2022-09-01,5551.964928863698
2022-09-02,5591.217400457588
2022-09-05,5492.366395137733
2022-09-06,5591.218151331232
2022-09-07,5591.361462611591
2022-09-08,6405.008010011326
2022-09-09,6538.087638079025
2022-09-12,6503.95573554023
2022-09-13,6414.869832081136
2022-09-14,6989.0226918684175
2022-09-15,7064.130691285846
2022-09-16,6787.96823219197
2022-09-19,6663.506871439125
2022-09-20,6740.002572872627
2022-09-21,6682.654891996151
2022-09-22,6799.992401888322
2022-09-23,6780.536161830602
2022-09-26,6653.096364632631
2022-09-27,6566.029669758354
2022-09-28,6554.11281695243
2022-09-29,6553.042362575818
2022-09-30,6416.7019715995775
2022-10-03,6443.892206682758
2022-10-04,6431.29451418664
2022-10-06,6472.007084488742
2022-10-07,6634.613251794982
2022-10-10,6584.026511919307
2022-10-11,6559.754856189304
2022-10-12,6575.805925163062
2022-10-13,6508.147060824904
2022-10-14,6569.045628230147
2022-10-17,6503.282994572125
2022-10-18,6566.516258713353
2022-10-19,6663.797472916125
2022-10-20,6550.950706429689
2022-10-21,6370.931721728823
2022-10-24,6322.582223955365
2022-10-25,6396.273329652001
2022-10-27,6425.4575257150855
2022-10-28,6483.826282586288
2022-10-31,6517.875289689272
2022-11-01,6581.1083868005
2022-11-02,6552.896894194748
2022-11-03,6617.588588402486
2022-11-04,6593.65702844862
2022-11-07,6614.18434522957
2022-11-09,6703.586094620378
2022-11-10,6742.595402669109
2022-11-11,6885.8430600696265
2022-11-14,6583.29779147565
2022-11-15,6566.515665444788
2022-11-16,6624.641948151231
2022-11-17,6560.630171895905
2022-11-18,6512.038785503681
2022-11-21,6459.505953822854
2022-11-22,6420.593241543589
2022-11-23,6493.506781521208
2022-11-24,6370.98005319149
2022-11-25,6401.136914164786
2022-11-28,6340.384419753383
2022-11-29,6265.720783654128
2022-11-30,6443.941253134294
2022-12-01,6176.415735986759
2022-12-02,6221.165518334378
2022-12-05,6207.545994375341
2022-12-06,6081.66440395994
2022-12-07,6090.22459792342
2022-12-08,6098.007154560459
2022-12-09,6119.554988138551
2022-12-12,6075.242854370874
2022-12-13,6138.476547484965
2022-12-14,6116.150022186991
2022-12-15,6098.688255532087
2022-12-16,5998.390745739219
2022-12-19,5998.3903677661565
2022-12-20,6029.520823649529
2022-12-21,6055.786795428933
2022-12-22,6031.417659607157
2022-12-23,5963.223984432272
2022-12-26,5718.31690262246
2022-12-27,5739.621443735547
2022-12-28,5715.30119177574
2022-12-29,5715.252695132756
2022-12-30,5760.050151303743
2023-01-02,5620.79202163466
2023-01-03,5554.250936028604
2023-01-04,5591.753533563247
2023-01-05,5572.540040761645
2023-01-06,5549.533410013816
2023-01-09,5700.708875884335
2023-01-10,5719.1436517970005
2023-01-11,5700.708531751702
2023-01-12,5738.648366433897
2023-01-13,5834.957626767296
2023-01-16,5787.240470332227
2023-01-17,5705.67006447579
2023-01-18,5579.690209957256
2023-01-19,5540.194264424371
2023-01-20,5524.62922889767
2023-01-23,5659.898992562348
2023-01-24,5751.63567292522
2023-01-25,5735.73044687643
2023-01-27,5783.398038109917
