ds,y
2020-01-01,19881.400390625
2020-01-02,20756.93359375
2020-01-03,20679.419921875
2020-01-06,20627.482421875
2020-01-07,21501.15234375
2020-01-08,21954.0078125
2020-01-09,22337.5625
2020-01-10,22856.38671875
2020-01-13,23276.86328125
2020-01-14,23046.724609375
2020-01-15,23199.056640625
2020-01-16,22779.802734375
2020-01-17,22810.80859375
2020-01-20,22607.318359375
2020-01-21,22446.126953125
2020-01-22,22479.873046875
2020-01-23,22548.92578125
2020-01-24,22641.013671875
2020-01-27,23069.12109375
2020-01-28,22919.083984375
2020-01-29,23006.23046875
2020-01-30,22990.826171875
2020-01-31,22512.4921875
2020-02-03,22771.5390625
2020-02-04,23955.509765625
2020-02-05,24349.1875
2020-02-06,24456.822265625
2020-02-07,24387.673828125
2020-02-10,24419.560546875
2020-02-11,24298.12890625
2020-02-12,24147.11328125
2020-02-13,24094.5
2020-02-14,23877.69921875
2020-02-17,23503.8828125
2020-02-18,23276.765625
2020-02-19,24014.091796875
2020-02-20,23860.63671875
2020-02-24,23401.60546875
2020-02-25,23141.287109375
2020-02-26,23036.6484375
2020-02-27,23392.369140625
2020-02-28,22252.259765625
2020-03-02,22610.38671875
2020-03-03,23309.1015625
2020-03-04,22864.560546875
2020-03-05,22660.396484375
2020-03-06,22706.083984375
2020-03-09,21594.466796875
2020-03-11,21473.86328125
2020-03-12,19952.638671875
2020-03-13,20973.861328125
2020-03-16,19795.439453125
2020-03-17,19646.53515625
2020-03-18,18728.181640625
2020-03-19,17327.85546875
2020-03-20,18614.404296875
2020-03-23,16691.037109375
2020-03-24,16701.2578125
2020-03-25,17135.7734375
2020-03-26,17240.65625
2020-03-27,17335.80859375
2020-03-30,16643.779296875
2020-03-31,17267.625
2020-04-01,16276.8115234375
2020-04-03,15506.8134765625
2020-04-07,16341.3125
2020-04-08,15736.4755859375
2020-04-09,16616.908203125
2020-04-13,17008.68359375
2020-04-15,17838.3203125
2020-04-16,18643.193359375
2020-04-17,18593.234375
2020-04-20,18660.927734375
2020-04-21,18522.44140625
2020-04-22,18956.416015625
2020-04-23,18382.92578125
2020-04-24,18269.837890625
2020-04-27,18675.275390625
2020-04-28,18531.240234375
2020-04-29,18854.240234375
2020-04-30,19416.7265625
2020-05-04,18305.650390625
2020-05-05,18186.423828125
2020-05-06,18411.173828125
2020-05-07,18067.6875
2020-05-08,18413.138671875
2020-05-11,18570.783203125
2020-05-12,18778.6796875
2020-05-13,19434.75390625
2020-05-14,18995.619140625
2020-05-15,18829.921875
2020-05-18,17807.125
2020-05-19,18030.400390625
2020-05-20,19188.83203125
2020-05-21,18926.3046875
2020-05-22,19565.97265625
2020-05-26,20271.8046875
2020-05-27,20095.498046875
2020-05-28,20406.8046875
2020-05-29,20472.33984375
2020-06-01,20690.9453125
2020-06-02,20813.513671875
2020-06-03,21152.044921875
2020-06-04,21043.326171875
2020-06-05,21714.970703125
2020-06-08,20819.900390625
2020-06-09,20678.56640625
2020-06-10,21141.822265625
2020-06-11,20890.595703125
2020-06-12,22075.064453125
2020-06-15,21736.1953125
2020-06-16,21696.796875
2020-06-17,21317.986328125
2020-06-18,21503.4375
2020-06-22,21613.037109375
2020-06-23,22346.091796875
2020-06-24,22211.728515625
2020-06-25,21664.86328125
2020-06-26,22112.595703125
2020-06-29,21955.73828125
2020-06-30,22658.578125
2020-07-01,22270.23828125
2020-07-02,22357.046875
2020-07-06,22699.84375
2020-07-07,22415.2109375
2020-07-08,22051.08984375
2020-07-09,22398.11328125
2020-07-10,21889.712890625
2020-07-13,21918.6953125
2020-07-14,21724.158203125
2020-07-15,21460.599609375
2020-07-16,21354.337890625
2020-07-17,21868.5390625
2020-07-20,21863.625
2020-07-21,22013.802734375
2020-07-22,21596.1875
2020-07-23,21182.74609375
2020-07-24,20968.357421875
2020-07-27,20729.55859375
2020-07-28,21515.521484375
2020-07-29,21357.4375
2020-07-30,21010.951171875
2020-07-31,21340.046875
2020-08-03,21380.669921875
2020-08-04,21217.427734375
2020-08-05,21710.65234375
2020-08-06,21337.291015625
2020-08-07,21511.298828125
2020-08-10,21997.443359375
2020-08-11,21162.306640625
2020-08-12,20992.08984375
2020-08-13,20882.685546875
2020-08-14,21075.50390625
2020-08-17,21127.283203125
2020-08-18,21521.466796875
2020-08-19,21686.1328125
2020-08-20,21716.25
2020-08-21,21915.99609375
2020-08-24,21812.6328125
2020-08-25,21406.7109375
2020-08-26,21323.193359375
2020-08-27,21151.25390625
2020-08-28,20922.234375
2020-08-31,19931.021484375
2020-09-01,20096.33203125
2020-09-02,20203.2265625
2020-09-03,20088.03125
2020-09-04,19576.03515625
2020-09-07,19451.611328125
2020-09-08,19045.97265625
2020-09-09,19057.271484375
2020-09-10,19288.90234375
2020-09-11,19161.373046875
2020-09-14,19428.765625
2020-09-15,19723.51953125
2020-09-16,20024.65625
2020-09-17,19528.486328125
2020-09-18,19171.48828125
2020-09-21,18574.12109375
2020-09-22,18673.162109375
2020-09-23,18636.369140625
2020-09-24,18016.19921875
2020-09-25,18669.232421875
2020-09-28,19200.130859375
2020-09-29,19485.9453125
2020-09-30,19903.318359375
2020-10-01,20253.53125
2020-10-05,19783.15625
2020-10-06,19936.76953125
2020-10-07,20352.615234375
2020-10-08,20363.28125
2020-10-09,20820.638671875
2020-10-12,20580.171875
2020-10-13,20700.525390625
2020-10-14,20758.88671875
2020-10-15,20291.75
2020-10-16,20793.228515625
2020-10-19,20727.201171875
2020-10-20,20780.599609375
2020-10-21,20754.7109375
2020-10-22,20611.21875
2020-10-23,20178.6171875
2020-10-26,20045.435546875
2020-10-27,21464.578125
2020-10-28,20976.271484375
2020-10-29,21298.9765625
2020-10-30,21271.0234375
2020-11-02,21289.34765625
2020-11-03,21511.248046875
2020-11-04,21529.91796875
2020-11-05,21911.228515625
2020-11-06,21655.384765625
2020-11-09,22392.318359375
2020-11-10,22338.08203125
2020-11-11,22475.68359375
2020-11-12,23017.98046875
2020-11-13,23022.3515625
2020-11-14,22956.185546875
2020-11-17,23574.37890625
2020-11-18,23637.505859375
2020-11-19,23265.083984375
2020-11-20,23537.783203125
2020-11-23,24013.513671875
2020-11-24,23813.869140625
2020-11-25,23272.990234375
2020-11-26,23976.125
2020-11-27,23688.794921875
2020-12-01,24468.123046875
2020-12-02,24192.578125
2020-12-03,24459.8671875
2020-12-04,24473.919921875
2020-12-07,24529.724609375
2020-12-08,24360.537109375
2020-12-09,23988.41015625
2020-12-10,23290.974609375
2020-12-11,23361.076171875
2020-12-14,23310.1796875
2020-12-15,23848.35546875
2020-12-16,23820.056640625
2020-12-17,24074.921875
2020-12-18,24126.357421875
2020-12-21,23323.939453125
2020-12-22,23521.86328125
2020-12-23,23480.05859375
2020-12-24,23403.669921875
2020-12-28,23298.982421875
2020-12-29,23419.138671875
2020-12-30,24145.513671875
2020-12-31,23598.794921875
2021-01-01,23533.015625
2021-01-04,23609.65234375
2021-01-05,23476.177734375
2021-01-06,24374.095703125
2021-01-07,24572.712890625
2021-01-08,25359.0703125
2021-01-11,25082.78515625
2021-01-12,24905.931640625
2021-01-13,24292.98828125
2021-01-14,24372.28125
2021-01-15,23975.638671875
2021-01-18,23401.357421875
2021-01-19,23926.314453125
2021-01-20,23518.23046875
2021-01-21,23336.265625
2021-01-22,23294.1171875
2021-01-25,22837.640625
2021-01-27,22415.060546875
2021-01-28,22698.224609375
2021-01-29,22351.05078125
2021-02-01,24051.0
2021-02-02,25949.556640625
2021-02-03,25537.052734375
2021-02-04,26710.119140625
2021-02-05,26248.734375
2021-02-08,27527.2265625
2021-02-09,27705.75
2021-02-10,27818.4453125
2021-02-11,27822.568359375
2021-02-12,27493.67578125
2021-02-15,28190.720703125
2021-02-16,28112.904296875
2021-02-17,27759.099609375
2021-02-18,27116.974609375
2021-02-19,27058.716796875
2021-02-22,26633.97265625
2021-02-23,26772.703125
2021-02-24,27108.775390625
2021-02-25,26982.9140625
2021-02-26,26043.142578125
2021-03-01,27207.466796875
2021-03-02,27178.19140625
2021-03-03,27201.869140625
2021-03-04,28204.720703125
2021-03-05,27362.85546875
2021-03-08,26704.814453125
2021-03-09,26828.21875
2021-03-10,27086.423828125
2021-03-12,27241.904296875
2021-03-15,27151.708984375
2021-03-16,26956.435546875
2021-03-17,26348.40625
2021-03-18,26108.57421875
2021-03-19,26480.705078125
2021-03-22,26484.927734375
2021-03-23,27808.71875
2021-03-24,27301.34765625
2021-03-25,27076.84765625
2021-03-26,27599.294921875
2021-03-30,28596.84375
2021-03-31,28959.978515625
2021-04-01,29453.54296875
2021-04-05,29841.244140625
2021-04-06,29606.03125
2021-04-07,29743.876953125
2021-04-08,31092.130859375
2021-04-09,31232.091796875
2021-04-12,29375.333984375
2021-04-13,29835.0546875
2021-04-15,29756.794921875
2021-04-16,30272.71484375
2021-04-19,29525.609375
2021-04-20,28801.546875
2021-04-22,28027.373046875
2021-04-23,27604.69921875
2021-04-26,27583.42578125
2021-04-27,27592.171875
2021-04-28,28193.224609375
2021-04-29,27928.92578125
2021-04-30,27419.0546875
2021-05-03,27590.55078125
2021-05-04,27268.287109375
2021-05-05,27355.236328125
2021-05-06,27250.697265625
2021-05-07,27386.876953125
2021-05-10,26849.583984375
2021-05-11,27011.162109375
2021-05-12,26373.4140625
2021-05-14,26253.59375
2021-05-17,26844.234375
2021-05-18,27001.337890625
2021-05-19,27055.521484375
2021-05-20,27041.326171875
2021-05-21,27126.166015625
2021-05-24,26473.236328125
2021-05-25,26566.08203125
2021-05-26,26602.53515625
2021-05-27,27597.919921875
2021-05-28,27109.216796875
2021-05-31,27095.955078125
2021-06-01,27169.544921875
2021-06-02,27390.806640625
2021-06-03,27852.732421875
2021-06-04,27658.345703125
2021-06-07,28621.74609375
2021-06-08,28480.755859375
2021-06-09,27946.955078125
2021-06-10,27775.853515625
2021-06-11,27590.892578125
2021-06-14,27814.46484375
2021-06-15,28001.880859375
2021-06-16,27739.400390625
2021-06-17,27867.57421875
2021-06-18,27542.111328125
2021-06-21,27680.498046875
2021-06-22,28742.6953125
2021-06-23,28358.236328125
2021-06-24,28164.046875
2021-06-25,28224.765625
2021-06-28,27938.1640625
2021-06-29,27642.72265625
2021-06-30,27049.185546875
2021-07-01,26601.0625
2021-07-02,26544.861328125
2021-07-05,26521.869140625
2021-07-06,27278.8984375
2021-07-07,27065.4921875
2021-07-08,27094.97265625
2021-07-09,27022.462890625
2021-07-12,27552.673828125
2021-07-13,27586.03515625
2021-07-14,27905.64453125
2021-07-15,27974.568359375
2021-07-16,27599.8359375
2021-07-19,27548.748046875
2021-07-20,27571.6875
2021-07-22,27666.01171875
2021-07-23,27552.19140625
2021-07-26,27543.720703125
2021-07-27,27466.0859375
2021-07-28,27074.498046875
2021-07-29,27195.01953125
2021-07-30,27822.318359375
2021-08-02,28841.158203125
2021-08-03,28759.482421875
2021-08-04,28682.826171875
2021-08-05,28518.0546875
2021-08-06,27976.462890625
2021-08-09,27851.666015625
2021-08-10,26715.65625
2021-08-11,26145.26953125
2021-08-12,26190.314453125
2021-08-13,26199.5234375
2021-08-16,25600.283203125
2021-08-17,25765.69921875
2021-08-18,25911.71875
2021-08-20,25868.046875
2021-08-23,25598.509765625
2021-08-24,25836.294921875
2021-08-25,25863.8671875
2021-08-26,26172.4453125
2021-08-27,26478.759765625
2021-08-30,26724.078125
2021-08-31,27860.5234375
2021-09-01,28025.349609375
2021-09-02,29789.984375
2021-09-03,29953.330078125
2021-09-06,30139.720703125
2021-09-07,30168.419921875
2021-09-08,30318.08203125
2021-09-09,30195.595703125
2021-09-13,30195.203125
2021-09-14,30172.65625
2021-09-15,30567.9296875
2021-09-16,30172.26171875
2021-09-17,30075.275390625
2021-09-20,29611.568359375
2021-09-21,29617.875
2021-09-22,29269.708984375
2021-09-23,29440.099609375
2021-09-24,28965.068359375
2021-09-27,28975.455078125
2021-09-28,28804.0859375
2021-09-29,28918.84375
2021-09-30,28480.638671875
2021-10-01,28645.60546875
2021-10-04,28866.06640625
2021-10-05,28350.421875
2021-10-06,27743.84375
2021-10-07,27626.482421875
2021-10-08,27345.6171875
2021-10-11,27616.8828125
2021-10-12,27281.8671875
2021-10-13,27392.240234375
2021-10-14,27524.919921875
2021-10-18,27772.498046875
2021-10-19,27276.94140625
2021-10-20,27023.943359375
2021-10-21,27215.99609375
2021-10-22,27349.951171875
2021-10-25,26848.189453125
2021-10-26,27351.279296875
2021-10-27,27767.529296875
2021-10-28,27757.333984375
2021-10-29,28218.580078125
2021-11-01,28689.177734375
2021-11-02,28460.943359375
2021-11-03,28521.400390625
2021-11-04,28591.111328125
2021-11-08,29078.64453125
2021-11-09,28817.521484375
2021-11-10,28901.66015625
2021-11-11,28570.681640625
2021-11-12,28935.52734375
2021-11-15,28644.234375
2021-11-16,27740.546875
2021-11-17,27263.205078125
2021-11-18,26761.638671875
2021-11-22,26183.86328125
2021-11-23,26320.677734375
2021-11-24,26462.0234375
2021-11-25,26266.375
2021-11-26,25537.7109375
2021-11-29,25204.95703125
2021-11-30,25704.455078125
2021-12-01,25717.6484375
2021-12-02,25893.845703125
2021-12-03,25505.51171875
2021-12-06,25221.748046875
2021-12-07,25374.115234375
2021-12-08,25734.681640625
2021-12-09,25995.21484375
2021-12-10,25942.98046875
2021-12-13,26020.123046875
2021-12-14,26071.02734375
2021-12-15,25882.27734375
2021-12-16,25919.693359375
2021-12-17,25856.134765625
2021-12-20,25146.326171875
2021-12-21,25447.173828125
2021-12-22,25789.52734375
2021-12-23,25926.5859375
2021-12-24,25871.544921875
2021-12-27,25882.328125
2021-12-28,26329.638671875
2021-12-29,26250.083984375
2021-12-30,26012.3984375
2021-12-31,26594.20703125
2022-01-03,26823.76953125
2022-01-04,26502.732421875
2022-01-05,26793.44140625
2022-01-06,26116.71484375
2022-01-07,26632.900390625
2022-01-10,26525.92578125
2022-01-11,26588.150390625
2022-01-12,26315.806640625
2022-01-13,26453.6015625
2022-01-14,26669.82421875
2022-01-17,27115.267578125
2022-01-18,26723.583984375
2022-01-19,25987.53515625
2022-01-20,25697.12109375
2022-01-21,24658.640625
2022-01-24,23964.87890625
2022-01-25,24126.060546875
2022-01-27,23581.962890625
2022-01-28,23758.40625
2022-01-31,23905.755859375
2022-02-01,25108.76171875
2022-02-02,24878.06640625
2022-02-03,24455.466796875
2022-02-04,24324.267578125
2022-02-07,24485.646484375
2022-02-08,24403.03515625
2022-02-09,25116.93359375
2022-02-10,24891.158203125
2022-02-11,24555.9921875
2022-02-15,24539.9140625
2022-02-16,24591.404296875
2022-02-17,24372.7734375
2022-02-18,24020.44921875
2022-02-21,24354.82421875
2022-02-22,24073.857421875
2022-02-23,24203.169921875
2022-02-24,22761.41015625
2022-02-25,23659.837890625
2022-02-28,24075.09375
2022-03-02,23594.095703125
2022-03-03,22513.095703125
2022-03-04,22197.60546875
2022-03-07,21696.63671875
2022-03-08,22230.451171875
2022-03-09,21656.638671875
2022-03-10,21901.6015625
2022-03-11,22092.36328125
2022-03-14,22045.015625
2022-03-15,22479.263671875
2022-03-16,23262.529296875
2022-03-17,23751.71484375
2022-03-21,23083.556640625
2022-03-22,23046.369140625
2022-03-23,23126.263671875
2022-03-24,22954.5390625
2022-03-25,22945.169921875
2022-03-28,22871.732421875
2022-03-29,23318.701171875
2022-03-30,23724.982421875
2022-03-31,23665.802734375
2022-04-01,24263.486328125
2022-04-04,24399.064453125
2022-04-05,24794.44140625
2022-04-06,24401.529296875
2022-04-07,24421.451171875
2022-04-08,24904.373046875
2022-04-11,24828.2265625
2022-04-12,24806.232421875
2022-04-13,25023.62109375
2022-04-18,25090.349609375
2022-04-19,24544.646484375
2022-04-20,25358.88671875
2022-04-21,25706.576171875
2022-04-22,25494.021484375
