ds,y
2020-01-01,2346.041988891484
2020-01-02,2309.435014394428
2020-01-03,2342.847989590516
2020-01-06,2278.969818460364
2020-01-07,2259.953797453276
2020-01-08,2248.5048553799693
2020-01-09,2323.8811109345083
2020-01-10,2334.003330952017
2020-01-13,2337.9343691148383
2020-01-14,2334.003356566803
2020-01-15,2371.34718540129
2020-01-16,2404.46542896497
2020-01-17,2460.7767549228847
2020-01-20,2467.066075433833
2020-01-21,2456.845356023792
2020-01-22,2460.776855318252
2020-01-23,2412.622376131585
2020-01-24,2445.740980818616
2020-01-27,2429.7218928600164
2020-01-28,2445.446030817737
2020-01-29,2437.485970590034
2020-01-30,2427.3636634250256
2020-01-31,2444.8070776497984
2020-02-03,2394.638464211956
2020-02-04,2404.072827139698
2020-02-05,2442.104656128832
2020-02-06,2487.3103187411293
2020-02-07,2510.8963651524177
2020-02-10,2465.6903958058665
2020-02-11,2367.4165749696567
2020-02-12,2280.984873791538
2020-02-13,2275.038952525424
2020-02-14,2240.643407616604
2020-02-17,2200.3508614147813
2020-02-18,2270.075982062031
2020-02-19,2275.039069646004
2020-02-20,2259.2169677269544
2020-02-24,2249.487992396864
2020-02-25,2224.772162541659
2020-02-26,2211.111787673932
2020-02-27,2211.1609236881286
2020-02-28,2190.031898889785
2020-03-02,2217.057469925449
2020-03-03,2188.5582632259816
2020-03-04,2186.150361204183
2020-03-05,2156.0290914714947
2020-03-06,2101.9787524285907
2020-03-09,2161.925975074331
2020-03-11,2172.834197671082
2020-03-12,2053.9229311801337
2020-03-13,2181.678843013825
2020-03-16,2122.71472793856
2020-03-17,2043.0146756607169
2020-03-18,2044.0956708224965
2020-03-19,1842.585026185856
2020-03-20,2035.152613363896
2020-03-23,1925.1844478606608
2020-03-24,1807.2063794680696
2020-03-25,1798.4109392095304
2020-03-26,1886.8575135582105
2020-03-27,1886.8575008209689
2020-03-30,1848.4815896440011
2020-03-31,1807.7471936210695
2020-04-01,1794.480122338051
2020-04-03,1771.8771377972191
2020-04-07,1810.7444237633651
2020-04-08,1830.6939301335349
2020-04-09,1829.8094353421477
2020-04-13,1822.979509912952
2020-04-15,1827.844081135272
2020-04-16,1786.6181841942046
2020-04-17,1925.970495760199
2020-04-20,1973.240281880751
2020-04-21,1867.2026390874648
2020-04-22,1832.6102861733527
2020-04-23,1842.6341573120255
2020-04-24,1881.8455940338413
2020-04-27,1884.891994688875
2020-04-28,1953.6837392433424
2020-04-29,2035.1525236111397
2020-04-30,2096.1808075177173
2020-05-04,1983.116587425768
2020-05-05,2007.5379390088367
2020-05-06,1970.3902542449905
2020-05-07,1949.752798205261
2020-05-08,1939.8760764012304
2020-05-11,1881.943804975804
2020-05-12,1862.1908074337612
2020-05-13,1901.598448068249
2020-05-14,1917.322408461246
2020-05-15,1931.08071769132
2020-05-18,1916.1922587040792
2020-05-19,1862.288970884481
2020-05-20,1842.634278980251
2020-05-21,1862.7312691475672
2020-05-22,1864.696623151727
2020-05-26,1871.330192002968
2020-05-27,1857.3754270962072
2020-05-28,1943.856266447119
2020-05-29,1945.7234315373576
2020-06-01,2001.837916242453
2020-06-02,2029.3547112011463
2020-06-03,2093.232389019636
2020-06-04,2063.75040795204
2020-06-05,2049.009206922632
2020-06-08,2059.819343313019
2020-06-09,2034.1699528873485
2020-06-10,2053.9229599396376
2020-06-11,2043.1129134328744
2020-06-12,2039.0344486016231
2020-06-15,2034.268222023189
2020-06-16,2024.4408947286124
2020-06-17,2051.9574737163352
2020-06-18,2098.195452540219
2020-06-19,2062.767636134532
2020-06-22,2028.3718711612053
2020-06-23,2038.6413664670104
2020-06-24,2058.8366661351624
2020-06-25,2031.3200182956264
2020-06-26,2029.354424121232
2020-06-29,2016.7754801830447
2020-06-30,2057.8541242149536
2020-07-01,2052.940360382259
2020-07-02,2150.2313651308014
2020-07-03,2135.441070750249
2020-07-06,2270.0762912541727
2020-07-07,2240.643433586136
2020-07-08,2225.361755180074
2020-07-09,2211.111644946198
2020-07-10,2209.8342729573164
2020-07-13,2183.5952714231025
2020-07-14,2164.923298150013
2020-07-15,2162.024192601501
2020-07-16,2176.716176507357
2020-07-17,2235.729549728233
2020-07-20,2247.522302441233
2020-07-21,2246.539848923841
2020-07-22,2225.705754838912
2020-07-23,2251.453768582299
2020-07-24,2244.524852373392
2020-07-27,2205.559440355996
2020-07-28,2176.765339120536
2020-07-29,2166.9378068500623
2020-07-30,2120.7494259809146
2020-07-31,2084.9779812816946
2020-08-03,2101.0944900165164
2020-08-04,2100.112005233307
2020-08-05,2069.646697527985
2020-08-06,2108.094208247177
2020-08-07,2102.134438657088
2020-08-10,2084.5995807833933
2020-08-11,2058.987155016456
2020-08-12,2041.1080447910708
2020-08-13,2037.1676054215616
2020-08-14,2020.3717880280285
2020-08-17,2015.0029940334528
2020-08-18,2032.2421469818075
2020-08-19,2022.391173830515
2020-08-20,2004.6101102923035
2020-08-21,2176.95183903964
2020-08-24,2239.1111663847205
2020-08-25,2240.490043971796
2020-08-26,2254.8727300243117
2020-08-27,2240.638259698283
2020-08-28,2235.6634551517773
2020-08-31,2180.941673589808
2020-09-01,2114.989478451596
2020-09-02,2181.877439368113
2020-09-03,2167.199641842138
2020-09-04,2201.332872705768
2020-09-07,2153.6053665257496
2020-09-08,2221.13341805162
2020-09-09,2140.553116583888
2020-09-10,2125.8259114078896
2020-09-11,2130.84976423267
2020-09-14,2196.7521828702743
2020-09-15,2216.454085746273
2020-09-16,2206.603312849149
2020-09-17,2206.4552940415942
2020-09-18,2170.6475072623816
2020-09-21,2112.280714755283
2020-09-22,2122.8702543471923
2020-09-23,2122.37812487106
2020-09-24,2029.2870693984828
2020-09-25,2053.864684842144
2020-09-28,2085.4863201912126
2020-09-29,2194.782000314984
2020-09-30,2190.841769090702
2020-10-01,2183.354898206166
2020-10-05,2188.8715799109286
2020-10-06,2187.049082333294
2020-10-07,2154.3933006690145
2020-10-08,2137.2035179220866
2020-10-09,2110.064621123372
2020-10-12,2143.90225356728
2020-10-13,2148.7288878724244
2020-10-14,2130.1599563673744
2020-10-15,2121.68841195785
2020-10-16,2078.541458033562
2020-10-19,2083.466975608124
2020-10-20,2039.137777179159
2020-10-21,2035.54239434266
2020-10-22,2047.0187043566136
2020-10-23,2052.92894186522
2020-10-26,2045.6394529930071
2020-10-27,2039.0883710533712
2020-10-28,2041.1079910306216
2020-10-29,2057.1650659763927
2020-10-30,2101.1983989993514
2020-11-02,2110.064395788088
2020-11-03,2058.2978971653456
2020-11-04,2056.031925997964
2020-11-05,2065.242724176214
2020-11-06,2067.7053042295847
2020-11-09,2085.4371179684213
2020-11-10,2089.328119993623
2020-11-11,2105.6316001731034
2020-11-12,2117.944958342684
2020-11-13,2103.1690270073777
2020-11-14,2087.4072812755057
2020-11-17,2102.035782199171
2020-11-18,2111.049667415979
2020-11-19,2114.0043648194955
2020-11-20,2115.974355276459
2020-11-23,2132.4259823747643
2020-11-24,2228.6693593240407
2020-11-25,2228.2751339745987
2020-11-26,2155.3782154688315
2020-11-27,2175.080720718585
2020-12-01,2192.8121377944585
2020-12-02,2167.002625539266
2020-12-03,2147.497654952394
2020-12-04,2136.021354215432
2020-12-07,2141.3407884953167
2020-12-08,2147.497760517642
2020-12-09,2113.019508214961
2020-12-10,2097.603132773345
2020-12-11,2090.5102287540976
2020-12-14,2092.3325490908965
2020-12-15,2135.381135173576
2020-12-16,2172.519221297235
2020-12-17,2172.1251734822754
2020-12-18,2295.507806437011
2020-12-21,2265.610225118782
2020-12-22,2191.8267270493925
2020-12-23,2249.4544538076293
2020-12-24,2541.435438052433
2020-12-28,2568.968966639801
2020-12-29,2556.113454113463
2020-12-30,2609.3576060358228
2020-12-31,2634.822312358034
2021-01-01,2596.6499378371864
2021-01-04,2594.5321211843657
2021-01-05,2589.754407495509
2021-01-06,2571.0868524521143
